permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_at_clean,id
"/company/a-bit-lucky",A Bit Lucky,http://www.abitlucky.com,games_video,1.0312103E7,acquired,USA,CA,SF Bay,San Mateo,2.0,10/1/09,2009-10-01,231
"/company/a-curated-world",A Curated World,http://kaymcgowan.com,ecommerce,50000.0,operating,USA,RI,Providence,Providence,1.0,,,232
"/company/a-family-first-community-services",A Family First Community Services,http://affcs.net,health,500000.0,operating,USA,GA,Atlanta,Atlanta,1.0,1/1/08,2008-01-01,233
"/company/a-la-mobile",A la Mobile,http://www.a-la-mobile.com,mobile,7550000.0,operating,USA,KS,SF Bay,San Ramon,2.0,6/1/05,2005-06-01,234
"/company/a-little-world",A LITTLE WORLD,http://alittleworld.com,finance,6410000.0,operating,IND,,Mumbai,Mumbai,1.0,3/2/00,2000-03-02,235
"/company/a-smarter-city",A Smarter City,http://www.asmartercity.com,software,15000.0,closed,,,unknown,,1.0,3/5/11,2011-03-05,236
"/company/a-gas",A-Gas,http://www.agas.com,cleantech,1.15837967E8,operating,GBR,,Bristol,Bristol,1.0,,,237
"/company/a-power-energy-generation",A-Power Energy Generation Systems,http://www.apowerenergy.com/EN,cleantech,1.02E7,ipo,CHN,,Shenyang,Shenyang,1.0,1/1/03,2003-01-01,238
"/company/a-star",A-STAR,http://agency-star.co.jp,software,,operating,JPN,,Tokyo,Tokyo,1.0,5/14/12,2012-05-14,239
"/company/a-tex",A-TEX,http://www.a-tex.com,fashion,,operating,DNK,,Denmark - Other,,1.0,,,240
"/company/a-vu-media",A-Vu Media,http://www.avumedia.com,health,250000.0,operating,USA,MN,Minneapolis,Minnetonka,1.0,,,241
"/company/a-p-pharma",A.P.Pharma,http://appharma.com,biotech,2.4000001E7,operating,USA,CA,SF Bay,Redwood City,1.0,,,242
"/company/as-child",A's Child,http://www.as-child.com,security,,operating,,,unknown,,1.0,10/10/13,2013-10-10,243
"/company/a-g-pharmaceutical",A&G Pharmaceutical,http://www.agpharma.com,biotech,2100002.0,operating,USA,MD,Washington DC,Columbia,2.0,,,244
"/company/a10-networks",A10 Networks,http://www.a10networks.com,network_hosting,1.18E8,operating,USA,CA,SF Bay,San Jose,4.0,10/1/04,2004-10-01,245
"/company/a123systems",A123 Systems,http://a123systems.com,nanotech,5.0286E8,ipo,USA,MA,Boston,Watertown,8.0,1/1/01,2001-01-01,246
"/company/aaipharma-services",AAIPharma Services,http://www.aaipharma.com,biotech,2.0E7,operating,USA,NC,Wilmington,Wilmington,1.0,1/1/79,1979-01-01,247
"/company/aarden-pharmaceuticals",Aarden Pharmaceuticals,http://aardenpharma.com,biotech,500000.0,closed,USA,IN,Indianapolis,Indianapolis,1.0,1/1/08,2008-01-01,248
"/company/aastrom-biosciences",Aastrom Biosciences,http://www.aastrom.com,biotech,4.0E7,operating,USA,MI,Detroit,Ann Arbor,1.0,1/1/89,1989-01-01,249
"/company/aava-mobile",Aava Mobile,http://www.aavamobile.com,mobile,4260000.0,operating,FIN,,Finland - Other,,1.0,1/1/09,2009-01-01,250
"/company/abaad-embodied-design-llc",Abaad Embodied Design LLC,http://www.abaad.ae,other,,operating,,,unknown,,1.0,1/1/12,2012-01-01,251
"/company/abacast-inc",Abacast,http://www.abacast.com,analytics,500000.0,operating,USA,WA,Vancouver,Vancouver,1.0,4/2/00,2000-04-02,252
"/company/abacus-e-media",Abacus e-Media,http://abacusemedia.com,software,3409316.0,operating,GBR,,London,London,1.0,1/1/77,1977-01-01,253
"/company/abakan-inc",Abakan,http://www.abakaninc.com,cleantech,2934995.0,operating,USA,FL,Miami,Miami,4.0,1/1/06,2006-01-01,254
"/company/abakus",Abakus,http://abakus.me/#!,other,825000.0,operating,USA,CA,SF Bay,Emeryville,1.0,1/1/13,2013-01-01,255
"/company/abattis-bioceuticals",Abattis Bioceuticals,http://abattis.com,biotech,317279.0,operating,CAN,CA,unknown,Vancouver,2.0,1/1/11,2011-01-01,256
